
---------- Begin Simulation Statistics ----------
simSeconds                                   0.025131                       # Number of seconds simulated (Second)
simTicks                                  25130920000                       # Number of ticks simulated (Tick)
finalTick                                 25130920000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     48.66                       # Real time elapsed on the host (Second)
hostTickRate                                516434362                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     725916                       # Number of bytes of host memory used (Byte)
simInsts                                      9996238                       # Number of instructions simulated (Count)
simOps                                       17794741                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   205420                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     365677                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         25130921                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.514038                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.397766                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17867411                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       37                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17861133                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    206                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                72701                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             63108                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  25                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            25108705                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.711352                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.524220                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19374257     77.16%     77.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1064428      4.24%     81.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1615102      6.43%     87.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    602466      2.40%     90.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1019346      4.06%     94.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1039343      4.14%     98.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    287399      1.14%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     90302      0.36%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     16062      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25108705                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   51365     17.05%     17.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     17.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     17.05% # attempts to use FU when none available (Count)
